 0.000022 main STARTING
 0.000388 consumer 6 STARTING
 0.000439 consumer 4 STARTING
 0.000473 producer 2 STARTING
 0.009596 consumer 5 STARTING
 0.010752 producer 3 STARTING
 0.011800 producer 1 STARTING
 0.313329 producer 1 ["Hello",1]
 0.600748 producer 2 ["Hello",2]
 0.618404 producer 1 ["World",1]
 0.911742 producer 3 ["Hello",3]
 0.918737 producer 1 ["foo",1]
 2.400544 consumer 4 ["Hello",1]
 2.400609 producer 2 ["World",2]
 3.009744 consumer 5 ["Hello",2]
 3.009834 producer 1 ["bar",1]
 3.606363 consumer 6 ["World",1]
 3.608544 producer 3 ["World",3]
 4.800739 consumer 4 ["Hello",3]
 4.800813 producer 2 ["foo",2]
 6.010747 consumer 5 ["foo",1]
 6.010860 producer 1 ["baz",1]
 7.208976 consumer 4 ["World",2]
 7.209151 consumer 6 ["bar",1]
 7.209306 producer 3 ["foo",3]
 7.209335 producer 2 ["bar",2]
 9.010963 consumer 5 ["World",3]
 9.011050 producer 1 ["qux",1]
 9.011064 producer 1 FINISHED
 9.609951 consumer 4 ["foo",2]
 9.610017 producer 2 ["baz",2]
10.812220 consumer 6 ["baz",1]
10.812455 producer 3 ["bar",3]
12.010080 consumer 4 ["foo",3]
12.010179 producer 2 ["qux",2]
12.010193 producer 2 FINISHED
12.011114 consumer 5 ["bar",2]
12.011185 producer 3 ["baz",3]
14.410281 consumer 4 ["qux",1]
14.410385 producer 3 ["qux",3]
14.410401 producer 3 FINISHED
14.412366 consumer 6 ["baz",2]
15.011760 consumer 5 ["bar",3]
16.811179 consumer 4 ["qux",2]
18.018747 consumer 5 ["baz",3]
18.018817 consumer 6 ["qux",3]
19.217403 consumer 4 caught end_data
19.217486 consumer 4 FINISHED
21.021768 consumer 5 caught end_data
21.021824 consumer 5 FINISHED
21.619570 consumer 6 caught end_data
21.619637 consumer 6 FINISHED
21.619726 main FINISHED
